RB,Naziv portfelja,Dionice,"Portfelj
kreiran",Prinos,"Prinos
bez div.","Prinos iznad 
OTP
indeksnog fonda",Opaska
,,,,,,,
1.,sonjci,"(0) KORF-R-A,ADPL-R-A,VIRO-R-A,PTKM-R-A,VLDS-R-A,KOEI-R-A",06.01. 22:29,24.63%,"21,69%","42,71%",
2.,_sin_,"(6) ADRS-R-A,VIRO-R-A,HT-R-A",05.01. 18:26,13.41%,"9,60%","31,49%",
3.,nino979,"(2) ADPL-R-A,DDJH-R-A,HT-R-A",03.01. 13:45,9.02%,"3,04%","26,79%",Od nelikvidnih CHAG-r-a
4.,ejpox,"(0) LRH-R-A,DDJH-R-A,BLJE-R-A,KORF-R-A,SNHO-R-A",19.01. 21:39,4.04%,"4,04%","26,28%",
5.,IvicaV,"(0) PTKM-R-A,BLJE-R-A,VLDS-R-A,KODT-P-A",19.01. 14:36,3.52%,"2,18%","25,76%",
6.,Promašaj,"(0) DDJH-R-A,DLKV-R-A,KORF-R-A",21.01. 23:58,1.96%,"1,96%","25,13%",
7.,KANGAR,"(7) KORF-R-A,PTKM-R-A,ADRS-P-A,LEDO-R-A",05.01. 12:32,1.85%,"0,03%","19,94%",
8.,lebowski,"(0) BLJE-R-A,PTKM-R-A,ADPL-R-A",03.01. 16:46,0.62%,"-1,42%","18,39%",
9.,tomislavk,"(0) ERNT-R-A,HT-R-A,VIRO-R-A",05.01. 09:24,-1.24%,"-11,45%","16,84%",
10.,FredPerry,"(2) VIRO-R-A,OPTE-R-A,BLJE-R-A,ADPL-R-A,TISK-R-A",01.01. 12:32,-1.39%,"-4,84%","15,65%",
11.,marne,"(2) KODT-R-A,ADPL-R-A,DDJH-R-A,PODR-R-A,KOEI-R-A",03.01. 17:19,-1.62%,"-4,31%","16,16%",
12.,rambo11,"(0) HT-R-A,INA-R-A,LEDO-R-A",03.01. 21:07,-1.96%,"-5,02%","15,81%",
13.,marinthedrzic,"(0) BLJE-R-A,INGR-R-A,SNHO-R-A,VIRO-R-A,KORF-R-A,PTKM-R-A",19.01. 11:27,-2.83%,"-4,37%","19,41%",
14.,katedralis,"(1) PODR-R-A,HT-R-A,DDJH-R-A",21.01. 09:14,-2.95%,"-5,55%","20,22%",
15.,2fast4u,"(0) DDJH-R-A,INA-R-A,ADPL-R-A,JNAF-R-A",13.01. 13:56,-2.97%,"-5,21%","17,98%",
16.,porporela,"(0) CKML-R-A,PTKM-R-A,KRAS-R-A,ADRS-P-A,INDG-R-A,INA-R-A",02.01. 15:46,-3.33%,"-5,37%","13,70%",ovo je godina ulaganja
17.,Domagoj,"(1) ADPL-R-A,KOEI-R-A,VIRO-R-A",25.01. 08:43,-3.82%,"-9,26%","19,70%",
18.,pokemon15,"(0) HT-R-A,INA-R-A,ADRS-P-A,BLJE-R-A",07.01. 22:37,-4.30%,"-7,24%","15,19%",
19.,mario130,"(0) VIRO-R-A,KNZM-R-A,INGR-R-A,KORF-R-A",25.01. 00:21,-4.91%,"-7,35%","18,61%",
20.,laudack1,"(0) LRH-R-A,ADPL-R-A,DDJH-R-A",14.01. 22:00,-5.14%,"-7,06%","16,96%",
21.,jure radić,"(2) JDPL-R-A,KORF-R-A,DDJH-R-A,VPIK-R-A",04.01. 11:03,-5.35%,"-5,82%","12,37%",
22.,prof1,"(10) KORF-R-A,ADRS-P-A,ADPL-R-A,PTKM-R-A",19.01. 11:18,-7.28%,"-8,41%","14,95%",
23.,đurđica,"(0) VIRO-R-A,ADPL-R-A,ATGR-R-A,HT-R-A",01.01. 17:52,-8.28%,"-14,32%","8,75%",
24.,makali,"(1) VLDS-R-A,VIRO-R-A,DLKV-R-A,ADPL-R-A",03.01. 21:06,-10.01%,"-14,30%","7,77%",ovo imam i u stvarnosti
25.,atila,"(0) PTKM-R-A,SNBA-R-A,ATGR-R-A",20.01. 21:32,-11.06%,"-11,06%","11,84%",
26.,G. House,"(2) DDJH-R-A,BLJE-R-A,PTKM-R-A",01.01. 17:03,-11.21%,"-13,15%","5,82%",
27.,grlereb,"(0) SNHO-R-A,HT-R-A,KORF-R-A,ATPL-R-A,ADRS-P-A",11.01. 12:36,-11.48%,"-13,51%","9,37%",
28.,speedy717,"(1) ERNT-R-A,HT-R-A,JNAF-R-A,KODT-P-A",03.01. 12:33,-11.58%,"-18,76%","6,19%",
29.,oknar,"(8) ADPL-R-A,ATPL-R-A,KORF-R-A,ADRS-P-A",01.01. 11:01,-12.59%,"-17,71%","4,45%",
30.,rmac,"(0) PBZ-R-A,ZABA-R-A,ADRS-P-A,KNZM-R-A,CKML-R-A,HT-R-A",05.01. 18:35,-14.33%,"-17,21%","3,75%",
31.,bujto,"(1) ADRS-P-A,ERNT-R-A,ZVZD-R-A,HT-R-A,ADPL-R-A,ADRS-R-A",02.01. 14:22,-14.35%,"-19,87%","2,68%",
32.,DemiZon,"(0) HT-R-A,BLJE-R-A,ADPL-R-A",21.01. 11:37,-14.63%,"-18,91%","8,54%",
33.,Piplica,"(0) ATGR-R-A,BLJE-R-A,INGR-R-A,ERNT-R-A,HT-R-A,INA-R-A",05.01. 20:33,-15.53%,"-19,28%","2,56%",
34.,BetBos,"(0) KORF-R-A,SNHO-R-A,ATPL-R-A,TISK-R-A",20.01. 22:41,-15.78%,"-15,78%","7,13%",
35.,FerengiHR,"(1) PTKM-R-A,LKPC-R-A,LEDO-R-A,KNZM-R-A,KOEI-R-A,HT-R-A",03.01. 18:57,-15.96%,"-17,70%","1,81%",Odabir od oka. Brzinski. Ne pratim Crobeks baš.
36.,jasko,"(5) ADPL-R-A,ATPL-R-A,IGH-R-A,BLJE-R-A,TISK-R-A",19.01. 21:33,-15.96%,"-17,50%","6,27%",I to je to 100%
37.,marinac,"(0) KODT-P-A,CROS-R-A,ULPL-R-A",15.01. 11:05,-16.47%,"-22,33%","5,62%",
38.,mahniti,"(0) ATPL-R-A,ADPL-R-A,KOEI-R-A,HT-R-A,IGH-R-A,KORF-R-A",20.01. 10:24,-16.98%,"-19,49%","5,93%",
39.,JOzo231,"(0) KOEI-R-A,ULPL-R-A,ADPL-R-A",08.01. 15:55,-17.48%,"-23,60%","2,02%",
40.,lucky1,"(0) TISK-R-A,ULPL-R-A,ADPL-R-A,VLDS-R-A,KORF-R-A,JDPL-R-A",24.01. 14:26,-17.69%,"-20,15%","5,48%",nedaleko od stvarnog
41.,pule,"(0) DLKV-R-A,HT-R-A,KOEI-R-A,ATGR-R-A,VIRO-R-A,BLJE-R-A",19.01. 13:53,-18.43%,"-21,58%","3,81%",
42.,vedran2006,"(2) ATPL-R-A,KORF-R-A,ADPL-R-A,KOEI-R-A,ADRS-P-A,JDPL-R-A",03.01. 16:35,-18.61%,"-20,39%","-0,84%",
43.,Rubinjo,"(2) KORF-R-A,ADPL-R-A,PTKM-R-A",24.01. 16:39,-18.68%,"-21,08%","4,49%",
44.,shef.sale,"(2) DDJH-R-A,RIVP-R-A,LKRI-R-A",19.01. 23:06,-18.81%,"-20,74%","3,43%",
45.,Škrti ujko,"(0) JDPL-R-A,INDG-R-A,DDJH-R-A",19.01. 11:08,-18.86%,"-18,86%","3,38%",U boj u boj za laptop svoj! :-)
46.,Zeljo25,"(0) KORF-R-A,DDJH-R-A,INGR-R-A,MGMA-R-A",17.01. 14:59,-19.08%,"-19,08%","3,96%",
47.,Patrikk,"(7) HT-R-A,ERNT-R-A,BLJE-R-A,VIRO-R-A",01.01. 11:48,-19.09%,"-22,84%","-2,06%",
48.,lopud,"(0) BLJE-R-A,ERNT-R-A,KOEI-R-A,INGR-R-A,HT-R-A,ADPL-R-A",13.01. 23:06,-19.13%,"-23,88%","1,82%",
49.,hrca,"(0) ADRS-P-A,HT-R-A,ADPL-R-A,ERNT-R-A,DLKV-R-A,PTKM-R-A",17.01. 20:17,-19.82%,"-24,52%","3,21%",
50.,bubanj34,"(0) DLKV-R-A,VIRO-R-A,ERNT-R-A,HT-R-A,INGR-R-A,PTKM-R-A",21.01. 22:08,-20.40%,"-25,28%","2,77%",
51.,renatop,"(3) PBZ-R-A,TISK-R-A,ERNT-R-A,KNZM-R-A",15.01. 18:52,-21.03%,"-24,82%","1,06%",
52.,randomizer,"(0) KORF-R-A,PODR-R-A,KODT-R-A,ADPL-R-A,INGR-R-A,LKPC-R-A",25.01. 15:39,-21.51%,"-23,13%","2,00%",
53.,Trinket,"(1) PODR-R-A,ZABA-R-A,HT-R-A,ERNT-R-A,ATGR-R-A",10.01. 16:47,-21.91%,"-25,07%","-1,21%",probajmo ponovno
54.,Pipe,"(1) IGH-R-A,JNAF-R-A,KOEI-R-A,PBZ-R-A",03.01. 22:33,-22.13%,"-23,93%","-4,35%","Tko zna, zna tko nezna dva."
55.,mali mate,"(0) INA-R-A,KNZM-R-A,INGR-R-A,ATGR-R-A,KOEI-R-A",15.01. 15:57,-22.32%,"-23,22%","-0,23%",
