RB,Naziv portfelja,Dionice,"Portfelj
kreiran",Prinos,"Prinos
bez div.","Prinos iznad 
OTP
indeksnog fonda",Opaska
,,,,,,,
1.,mariabrankica,"(8) ARNT-R-A,MAIS-R-A,RIVP-R-A,SNHO-R-A,HMST-R-A,LPLH-R-A",07.01. 14:19,89.93%,"89,17%","88,83%",
2.,luzeri,"(4) HMST-R-A,RIVP-R-A,ARNT-R-A",07.01. 13:29,75.47%,"74,11%","74,37%",
3.,svido,"(1) ADRS-R-A,BCIN-R-A,TUHO-R-A,ATGR-R-A,AUHR-R-A",13.01. 10:50,58.55%,"55,99%","58,28%",ne sudjeluje u poklonima (djelatnik)
4.,Božana14,"(2) ADRS-R-A,TUHO-R-A,ATGR-R-A,RIVP-R-A",24.01. 14:46,57.54%,"57,54%","56,21%",
5.,Fender00,"(5) AUHR-R-A,ADRS-P-A,ADRS-R-A,KSST-R-A,ATGR-R-A,HMST-R-A",20.01. 19:24,54.25%,"53,39%","53,64%",
6.,ivan22,"(3) SLRS-R-A,RIVP-R-A,ADRS-R-A",03.01. 09:50,53.70%,"48,96%","52,71%",
7.,vpero23,"(0) ZABA-R-A,BCIN-R-A,TUHO-R-A",25.01. 07:52,49.04%,"44,56%","47,71%",
8.,Ivan1902,"(2) LRH-R-A,ADRS-P-A,RIVP-R-A,HUPZ-R-A,TUHO-R-A,ZVCV-R-A",21.01. 21:48,48.67%,"46,46%","48,07%",
9.,Privateer,"(1) LRH-R-A,KOEI-R-A,SNHO-R-A",03.01. 17:43,48.52%,"48,52%","47,53%",
10.,potrka,"(6) ARNT-R-A,HIMR-R-A,RIVP-R-A,SNHO-R-A",03.01. 09:45,48.48%,"46,94%","47,49%",
11.,adiosnoia,"(1) HIMR-R-A,LPLH-R-A,AUHR-R-A,SNHO-R-A,HMST-R-A,BCIN-R-A",08.01. 21:56,48.40%,"48,00%","47,95%",
12.,marvul,"(1) RIVP-R-A,PODR-R-A,LEDO-R-A,ARNT-R-A,TUHO-R-A",25.01. 16:47,46.69%,"44,57%","45,36%","If women didn't exist, all the money in the world would have no meaning."
13.,johanna,"(3) ARNT-R-A,ADRS-R-A,RIVP-R-A",22.01. 15:24,45.95%,"42,62%","45,37%",
14.,peropopara,"(2) TUHO-R-A,KRAS-R-A,CKML-R-A",03.01. 19:00,40.77%,"39,09%","39,78%",
