RB,Naziv portfelja,Dionice,"Portfelj
kreiran",Prinos,"Prinos
bez div.","Prinos iznad 
OTP
indeksnog fonda",Opaska
,,,,,,,
1.,peropopara,"(10) INA-R-A,HT-R-A,SLPF-R-A",12.01. 21:45,65.08%,"61,94%","62,95%",
2.,faca5,"(6) INA-R-A,JNAF-R-A,VIRO-R-A,LRH-R-A",21.12. 17:33,46.01%,"42,39%","35,18%",
3.,katedralis,"(6) FRNK-R-A,ZVZD-R-A,BRBA-P-A,VART-R-1",06.01. 14:47,45.63%,"45,11%","40,85%",
4.,Twixer,"(3) ADPL-R-A,HT-R-A,INA-R-A",21.12. 21:34,43.41%,"34,17%","32,57%",
5.,Hepok,"(5) VIRO-R-A,INA-R-A,CKML-R-A",18.12. 17:23,43.06%,"32,35%","34,55%",
6.,Energetika,"(3) INA-R-A,JDOS-R-A,LRH-R-A,JNAF-R-A,VIRO-R-A",30.12. 19:35,38.27%,"34,92%","29,74%",
7.,dixi_,"(7) IPKK-R-A,ARNT-R-A,INA-R-A",14.01. 00:26,35.11%,"28,27%","34,14%",
8.,oknar,"(10) TNSA-R-A,INA-R-A,ADRS-R-A,ADRS-P-A",25.12. 08:18,30.26%,"21,61%","22,21%",
9.,stipe,"(0) PTKM-R-A,KORF-R-A,INA-R-A",17.01. 20:38,25.27%,"25,27%","25,66%",
10.,Trinket,"(0) PRFC-R-A,KRAS-R-A,ZABA-R-A,HT-R-A,INA-R-A",12.01. 14:43,25.21%,"20,07%","23,44%",Eto malo onak
11.,zveky,"(0) INA-R-A,ERNT-R-A,HT-R-A,KODT-R-A,PTKM-R-A,ATPL-R-A",26.12. 13:54,23.21%,"18,41%","15,15%",
12.,shef.sale,"(0) CEBA-P-A,ELKP-R-A,FRNK-R-A,ZTNJ-R-A,ULPL-R-A,PIKR-R-A",01.01. 16:39,21.41%,"14,75%","14,22%",Eksperimentalni fundamentalno-dividendni portfelj ... pa sto bude :)
13.,jure radić,"(1) PTKM-R-A,AUHR-R-A,JDGT-R-A,INA-R-A,DDJH-R-A,ADRS-P-A",23.12. 08:46,19.61%,"16,69%","11,31%",
14.,mndrija,"(0) INA-R-A,HT-R-A,ADRS-P-A,FRNK-R-A",20.01. 20:12,18.80%,"14,98%","19,65%",
15.,inzinjer,"(0) KODT-P-A,KODT-R-A,ADRS-P-A,CHAG-R-A,VIRO-R-A,CKML-R-A",22.12. 10:54,18.55%,"14,23%","7,71%",
16.,maoce,"(1) LKPC-R-A,OPTE-R-A,LKRI-R-A",14.01. 13:21,17.01%,"17,01%","16,04%",
17.,KANGAR,"(5) INA-R-A,LKPC-R-A,ZABA-R-A,KODT-R-A,KORF-R-A",18.01. 15:59,15.15%,"12,21%","15,54%",
18.,bravo,"(0) ERNT-R-A,SMNS-R-A,HT-R-A",24.12. 09:04,14.34%,"4,98%","6,77%",
19.,porporela,"(0) ADPL-R-A,LEDO-R-A,JNAF-R-A,ERNT-R-A,KODT-P-A,HT-R-A",26.12. 22:18,13.56%,"8,73%","5,51%",
20.,maki1,"(0) ADRS-P-A,JDPL-R-A,ATGR-R-A,HT-R-A,ERNT-R-A,PTKM-R-A",31.12. 00:55,10.54%,"6,31%","2,00%",Što Bog da i sreća junačka
21.,fafika15,"(0) INGR-R-A,ERNT-R-A,ZABA-R-A,PODR-R-A,INA-R-A,JDPL-R-A",30.12. 19:29,8.61%,"5,83%","0,08%",
22.,Napoleon Bonaparte,"(0) ZVCV-R-A,CKML-R-A,DDJH-R-A",20.01. 13:18,8.40%,"7,07%","8,63%",
23.,pobjednik,"(1) ADPL-R-A,LPLH-R-A,BLJE-R-A,HDEL-R-A",07.01. 14:43,8.36%,"7,89%","3,58%",
24.,ja007,"(1) ERNT-R-A,IGH-R-A,INA-R-A,HT-R-A,ATGR-R-A",11.01. 19:11,7.25%,"3,47%","5,49%",
25.,PČELAC,"(1) ZLAR-R-A,INDG-R-A,HTPK-R-A",06.01. 14:39,6.69%,"2,28%","1,92%",
26.,rmac,"(5) ATPL-R-A,ZABA-R-A,TNPL-R-A,ADRS-P-A",10.01. 09:53,6.00%,"4,01%","2,43%",
27.,tomislavk,"(0) CROS-R-A,HT-R-A,VIRO-R-A",05.01. 22:45,5.02%,"0,91%","0,25%",
28.,sem,"(6) ZTNJ-R-A,LPLH-R-A,KODT-P-A",14.01. 12:44,4.80%,"-1,21%","3,83%",
29.,Piplica,"(0) KNZM-R-A,ATPL-R-A,IGH-R-A,ULPL-R-A,HT-R-A,INA-R-A",15.01. 14:19,3.94%,"1,19%","3,07%",
