RB,Naziv portfelja,Dionice,"Portfelj
kreiran",Prinos,"Prinos
bez div.","Prinos iznad 
OTP
indeksnog fonda",Opaska
,,,,,,,
1.,ivanja,"(1) DDJH-R-A,BD62-R-A,ZB-R-A",05.01. 12:56,85.74%,"85,74%","63,47%",ajmoooo...
2.,matko,"(0) ATPL-R-A,DDJH-R-A,ADPL-R-A",04.01. 11:12,85.68%,"81,53%","64,08%",
3.,Tomo2111,"(0) ADPL-R-A,RIVP-R-A,ATPL-R-A",15.01. 12:24,85.19%,"80,17%","57,60%",
4.,višnja2,"(2) ULPL-R-A,DDJH-R-A,INGR-R-A",15.01. 17:53,79.95%,"78,74%","52,36%",
5.,jakiportfolio,"(0) ADPL-R-A,ATPL-R-A,PODR-R-A",25.01. 19:28,78.37%,"73,39%","52,36%",
6.,jhary,"(4) BLJE-R-A,OPTE-R-A,ADPL-R-A,RIVP-R-A",18.01. 14:56,75.50%,"74,29%","49,05%",
7.,Nenx,"(3) OPTE-R-A,IGH-R-A,INGR-R-A",25.01. 22:05,68.12%,"68,12%","42,11%",See you on the top
8.,zerjavec,"(0) ATPL-R-A,ADPL-R-A,HT-R-A",05.01. 12:25,68.02%,"62,32%","45,76%",
9.,nino979,"(0) ADPL-R-A,HT-R-A,AUHR-R-A",21.01. 13:11,67.62%,"60,70%","42,00%",
10.,robilad,"(2) DLKV-R-A,ATPL-R-A,BD62-R-A",04.01. 22:44,65.78%,"64,80%","44,19%",nadam se privatizaciji Jadroplova i porastu brodara
11.,dikri,"(6) INA-R-A,VLEN-R-B,LKPC-R-A,JNAF-R-A",09.01. 13:37,64.77%,"44,97%","41,58%",
12.,Orhideja74,"(0) ADRS-R-A,ATPL-R-A,KOEI-R-A",25.01. 07:18,64.04%,"62,37%","38,03%",
13.,Justicio,"(1) ADPL-R-A,ADRS-P-A,KOEI-R-A",22.01. 10:22,62.28%,"57,75%","36,12%",
14.,andaluz,"(3) BLJE-R-A,ZVZD-R-A,VPIK-R-A",23.01. 15:34,60.58%,"60,58%","34,41%",
15.,tonebrod,"(2) RIVP-R-A,PRFC-R-A,SLPF-R-A",05.01. 13:00,59.47%,"50,10%","37,21%",
16.,kresimir,"(0) OPTE-R-A,ATPL-R-A,RIVP-R-A,ADRS-P-A,VDKT-R-A",25.01. 09:37,59.40%,"58,01%","33,39%",
17.,veho_sb,"(0) DDJH-R-A,ADPL-R-A,RIVP-R-A",04.01. 10:47,59.12%,"54,14%","37,53%",
18.,mungos,"(0) ADPL-R-A,BLJE-R-A,ATPL-R-A",05.01. 14:29,58.67%,"54,40%","36,41%",
19.,Bobil,"(0) DDJH-R-A,RIVP-R-A,ATPL-R-A,PODR-R-A,ADPL-R-A,JNAF-R-A",24.01. 19:37,58.65%,"55,20%","32,48%",
20.,nex970,"(0) DDJH-R-A,RIVP-R-A,ADPL-R-A",03.01. 19:38,58.56%,"53,66%","36,95%",
21.,Bezweze,"(0) DDJH-R-A,ATPL-R-A,BLJE-R-A,LKRI-R-A,HIMR-R-A",25.01. 18:26,57.65%,"57,52%","31,63%",
22.,ribaa,"(1) ATPL-R-A,HIMR-R-A,RIVP-R-A,ADRS-R-A,PODR-R-A",04.01. 09:39,57.02%,"55,43%","35,43%",
23.,tale,"(0) DLKV-R-A,LKRI-R-A,ATPL-R-A",22.01. 09:20,56.95%,"56,95%","30,78%",
24.,zgrcko,"(3) DDJH-R-A,HIMR-R-A,MAIS-R-A,ADPL-R-A",19.01. 11:32,56.37%,"53,79%","29,43%",
25.,jasko,"(1) OPTE-R-A,DLKV-R-A,INGR-R-A,ATPL-R-A",04.01. 12:17,56.36%,"56,36%","34,77%",
26.,player576,"(0) RIVP-R-A,LKRI-R-A,ATPL-R-A,DLKV-R-A",24.01. 12:22,56.28%,"55,62%","30,12%",
27.,hrbr,"(0) HIMR-R-A,ARNT-R-A,RIVP-R-A",25.01. 18:34,55.62%,"54,53%","29,60%",
28.,tinlu,"(0) RIVP-R-A,DDJH-R-A,ARNT-R-A",04.01. 20:58,55.21%,"54,38%","33,62%",
29.,Overlord666,"(0) HT-R-A,ATPL-R-A,ERNT-R-A,ADPL-R-A,DDJH-R-A,RIVP-R-A",09.01. 17:22,55.08%,"50,17%","31,88%",
30.,rajbos,"(4) BD62-R-A,HPB-R-A,ZB-R-A",23.01. 19:09,54.97%,"49,74%","28,80%",da vidimo
31.,goranbj,"(4) ZB-R-A,PVCM-R-A,DLKV-R-A",22.01. 08:38,54.82%,"50,54%","28,65%",
32.,dvOvb,"(7) ADPL-R-A,ATPL-R-A,IGH-R-A,VPIK-R-A,DDJH-R-A,KRAS-R-A",07.01. 00:00,54.07%,"45,44%","31,19%",
33.,calado,"(1) ERNT-R-A,AUHR-R-A,ADPL-R-A,ADRS-P-A",07.01. 17:53,53.50%,"45,96%","30,62%",perjanice
34.,alamut,"(0) ATGR-R-A,ATPL-R-A,ERNT-R-A,PODR-R-A,ADPL-R-A,RIVP-R-A",22.01. 15:16,53.21%,"48,31%","27,05%",
35.,duspi,"(0) SUNH-R-A,ADPL-R-A,DLKV-R-A,HT-R-A,ATPL-R-A",25.01. 12:26,53.19%,"49,78%","27,18%",
36.,ivana96,"(1) LEDO-R-A,MAIS-R-A,SUNH-R-A,RIVP-R-A,ATPL-R-A",22.01. 20:09,52.62%,"51,19%","26,46%",
37.,AntBuslj,"(1) DDJH-R-A,RIVP-R-A,SUNH-R-A",15.01. 22:23,52.18%,"51,26%","24,60%",
38.,nalet,"(2) HMST-R-A,ARNT-R-A,DDJH-R-A",07.01. 11:06,52.15%,"52,15%","29,27%",
39.,vbresan,"(0) ARNT-R-A,DDJH-R-A,ADPL-R-A,RIVP-R-A",25.01. 17:40,51.58%,"47,74%","25,56%",
40.,fakat-lakat,"(2) INGR-R-A,OPTE-R-A,HT-R-A",18.01. 23:23,51.52%,"49,50%","25,07%",
41.,svido,"(0) HT-R-A,AUHR-R-A,JDGT-R-A",16.01. 17:59,51.34%,"46,61%","23,76%",
42.,bimco,"(1) ERNT-R-A,PODR-R-A,RIVP-R-A,ZABA-R-A,PVCM-R-A",25.01. 10:38,50.20%,"47,23%","24,19%",
43.,metropolis,"(0) DDJH-R-A,HIMR-R-A,ADRS-P-A",25.01. 09:39,50.02%,"48,37%","24,01%",Viribus Unitis
44.,vlenac,"(0) ADRS-P-A,DDJH-R-A,RIVP-R-A",04.01. 22:04,49.62%,"47,43%","28,03%",
45.,juraj.pavlovic,"(7) PVCM-R-A,SNHA-R-A,DDJH-R-A",25.01. 21:38,49.51%,"47,06%","23,50%",
46.,kpejic,"(4) ATPL-R-A,JDPL-R-A,ULPL-R-A",22.01. 18:19,49.34%,"47,22%","23,18%",
47.,Chhoban,"(1) JDOS-R-A,RIVP-R-A,HPB-R-A,ADRS-P-A",25.01. 20:28,49.30%,"46,91%","23,29%",
48.,Igor-H,"(0) ARNT-R-A,RIVP-R-A,DDJH-R-A",22.01. 22:57,48.91%,"48,03%","22,75%",
49.,Magnus,"(0) RIVP-R-A,ARNT-R-A,DDJH-R-A",25.01. 16:52,48.83%,"47,95%","22,82%",
50.,Božana14,"(0) HBRL-R-A,OPTE-R-A,HIMR-R-A",03.01. 23:23,48.60%,"48,40%","26,99%",
51.,Konus,"(0) PODR-R-A,ATPL-R-A,ADRS-P-A,ERNT-R-A,KOEI-R-A",23.01. 13:00,48.57%,"44,85%","22,40%",
52.,graditelj,"(0) LKRI-R-A,RIZO-R-A,ATPL-R-A",22.01. 13:46,47.28%,"47,28%","21,11%",
53.,Insajder,"(3) JDPL-R-A,IGH-R-A,ATPL-R-A",19.01. 17:29,47.23%,"46,11%","20,29%",
54.,gleebush,"(1) HIMR-R-A,ARNT-R-A,DDJH-R-A,ERNT-R-A,RIVP-R-A,HT-R-A",25.01. 23:03,47.16%,"45,93%","21,15%",da se lakše nađem
55.,dino73,"(0) ACI-R-A,RIVP-R-A,DDJH-R-A,ARNT-R-A,HIMR-R-A",24.01. 16:44,47.12%,"45,93%","20,96%",
56.,pacodel,"(1) RIVP-R-A,SAPN-R-A,ADRS-P-A,ARNT-R-A,DDJH-R-A",07.01. 08:34,46.67%,"45,31%","23,78%",...nikad bolje u gora vremena...
57.,gordogan,"(4) OPTE-R-A,HMST-R-A,HPB-R-A",11.01. 11:46,46.41%,"41,40%","22,88%",
58.,pegy,"(0) ARNT-R-A,DDJH-R-A,RIVP-R-A",12.01. 18:53,46.07%,"45,22%","22,83%",
59.,anzg,"(0) ARNT-R-A,RIVP-R-A,DDJH-R-A,ADRS-P-A",25.01. 20:07,45.82%,"44,07%","19,81%",
60.,Kristijan4603,"(0) DDJH-R-A,ARNT-R-A,RIVP-R-A,HT-R-A,ADPL-R-A,MAIS-R-A",15.01. 23:12,45.70%,"42,46%","18,11%",skoro pa blizu
61.,Bakonac,"(0) HIMR-R-A,ARNT-R-A,BLJE-R-A,DDJH-R-A,RIVP-R-A,ADPL-R-A",25.01. 09:50,45.69%,"43,03%","19,68%",
62.,boca,"(0) DDJH-R-A,ADRS-P-A,RIVP-R-A",22.01. 14:19,45.60%,"43,26%","19,43%",
63.,igor22,"(1) RIVP-R-A,DDJH-R-A,OPTE-R-A",14.01. 23:01,45.56%,"44,84%","18,87%",
64.,lepi 2,"(0) DDJH-R-A,ADRS-R-A,RIVP-R-A",04.01. 16:51,45.39%,"43,62%","23,80%",
65.,arijan,"(0) ATPL-R-A,ZABA-R-A,PODR-R-A,HT-R-A,INA-R-A,LEDO-R-A",24.01. 20:23,45.24%,"43,36%","19,07%",
66.,OS_001,"(0) VDKT-R-A,ATPL-R-A,HT-R-A,PODR-R-A,ATGR-R-A",25.01. 21:57,45.06%,"43,42%","19,04%",
67.,mfan,"(0) ADPL-R-A,RIVP-R-A,ADRS-P-A",11.01. 17:25,44.94%,"38,57%","21,41%",
68.,Skijaš na duge staze,"(0) ARNT-R-A,RIVP-R-A,DDJH-R-A",13.01. 17:02,44.94%,"44,09%","19,67%",
69.,Seraphim,"(0) ERNT-R-A,DDJH-R-A,ADPL-R-A",25.01. 15:11,44.87%,"37,24%","18,86%",
70.,darac11,"(0) RIVP-R-A,AUHR-R-A,ATGR-R-A,TUHO-R-A,ADRS-P-A,ARNT-R-A",04.01. 13:31,44.58%,"42,27%","22,99%","Vrijeme je da i ja nešto ""pogodim""!"
71.,pirak vis,"(0) HUPZ-R-A,PODR-R-A,ADRS-R-A,ATPL-R-A,MAIS-R-A,KRAS-R-A",24.01. 16:02,44.53%,"43,51%","18,36%",
72.,cico,"(3) LKPC-R-A,PRFC-R-A,ADPL-R-A",23.01. 10:37,44.35%,"41,42%","18,18%",
73.,Ana2711,"(0) OPTE-R-A,HUPZ-R-A,ADRS-P-A,ERNT-R-A,ARNT-R-A,RIVP-R-A",21.01. 17:50,44.03%,"41,05%","18,41%",
74.,multiplex,"(3) INGR-R-A,VDKT-R-A,OPTE-R-A,DLKV-R-A",19.01. 21:23,43.34%,"43,34%","16,40%",
75.,mrki1976,"(1) DDJH-R-A,PODR-R-A,ARNT-R-A,ADRS-R-A,RIVP-R-A,HIMR-R-A",05.01. 11:39,43.34%,"41,79%","21,08%",
76.,marrashi,"(1) RIVP-R-A,BD62-R-A,ARNT-R-A,DDJH-R-A",25.01. 13:00,43.30%,"42,40%","17,29%",
77.,pero82,"(1) ATPL-R-A,PODR-R-A,BD62-R-A,ZB-R-A",19.01. 10:31,42.94%,"42,15%","16,01%",Možda odlučno kao i prošle godine - možda dobro a možda i ne.
78.,robidio,"(0) ATGR-R-A,ADPL-R-A,RIVP-R-A,DDJH-R-A",25.01. 23:05,42.89%,"38,63%","16,88%",
79.,stari_lisac,"(0) RIVP-R-A,ARNT-R-A,DDJH-R-A,HT-R-A",07.01. 23:22,42.88%,"41,18%","20,00%",
80.,Noki,"(1) OPTE-R-A,DLKV-R-A,INGR-R-A",25.01. 21:48,42.74%,"39,84%","16,72%",
81.,ivan_777,"(0) ADRS-P-A,ADPL-R-A,MAIS-R-A,RIVP-R-A",17.01. 12:38,42.71%,"37,84%","15,13%",
82.,kresimirh,"(0) HUPZ-R-A,ATGR-R-A,AUHR-R-A,ZABA-R-A,JDGT-R-A,HT-R-A",05.01. 09:13,42.70%,"39,98%","20,44%",
83.,LUCKY1,"(0) LKRI-R-A,ATPL-R-A,BLJE-R-A",05.01. 10:27,42.43%,"42,43%","20,17%",pomorsko-prehrambeno-transportni portfelj
84.,Domin9,"(0) HT-R-A,RIVP-R-A,DDJH-R-A",25.01. 22:59,42.13%,"39,82%","16,11%",
85.,josko50,"(0) OPTE-R-A,HIMR-R-A,MAIS-R-A",22.01. 16:08,42.02%,"41,82%","15,86%",
86.,VINSKI68,"(0) TPNG-R-A,DDJH-R-A,ADRS-P-A,MAIS-R-A,ATPL-R-A,ERNT-R-A",07.01. 15:47,42.01%,"38,79%","19,13%",
87.,pbenazic,"(0) HT-R-A,DDJH-R-A,RIVP-R-A",23.01. 16:53,41.54%,"39,23%","15,37%",
88.,Kokreatorica,"(0) JNAF-R-A,HUPZ-R-A,ARNT-R-A",25.01. 21:29,41.21%,"39,91%","15,20%",
89.,krespo,"(0) ADPL-R-A,ADRS-P-A,JNAF-R-A",23.01. 16:28,41.18%,"34,44%","15,01%",
90.,glas,"(0) RIZO-R-A,HT-R-A,ATPL-R-A",03.01. 22:30,41.14%,"39,73%","19,53%",
91.,George,"(4) VART-R-1,ADPL-R-A,ADRS-P-A",04.01. 09:33,41.07%,"32,20%","19,48%",
92.,investman,"(1) RIVP-R-A,ADRS-R-A,JNAF-R-A,PODR-R-A,PVCM-R-A",25.01. 21:03,41.06%,"38,86%","15,04%",
93.,dosmericic,"(0) ACI-R-A,INA-R-A,RIVP-R-A,ATPL-R-A,PODR-R-A,LRH-R-A",25.01. 11:27,41.03%,"39,79%","15,02%",
94.,fx92,"(2) KRAS-R-A,ADPL-R-A,RIVP-R-A",16.01. 14:39,40.98%,"35,85%","13,39%",
95.,antearsenal,"(0) RIVP-R-A,ARNT-R-A,SUNH-R-A,DDJH-R-A",25.01. 13:53,40.89%,"40,23%","14,88%",
96.,_sin_,"(7) JDOS-R-A,ZABA-R-A,HDEL-R-A",04.01. 13:19,40.56%,"40,56%","18,97%",
97.,cicak,"(0) ADPL-R-A,KODT-P-A,RIVP-R-A,ILRA-R-A",08.01. 15:33,40.49%,"35,25%","17,29%",
98.,KrešoM,"(0) ADRS-P-A,DDJH-R-A,SAPN-R-A",05.01. 20:13,40.48%,"39,10%","18,22%",
99.,Argonaut,"(0) BLJE-R-A,DLKV-R-A,ATPL-R-A",03.01. 23:48,40.36%,"40,36%","18,74%",
100.,vidra74,"(2) MAIS-R-A,VART-R-1,ZABA-R-A,ADRS-P-A",06.01. 10:41,39.89%,"38,74%","17,63%",
101.,rosefield,"(0) ZABA-R-A,KOEI-R-A,ADPL-R-A",25.01. 23:14,39.86%,"34,98%","13,85%",
102.,dolar,"(7) ATPL-R-A,DDJH-R-A,ARNT-R-A,RIZO-R-A,RIVP-R-A",11.01. 13:52,39.56%,"38,89%","16,02%",
103.,ivonaa,"(0) PLAG-R-A,ADPL-R-A,DDJH-R-A,LEDO-R-A",25.01. 22:37,39.52%,"35,15%","13,50%",
104.,pitommacak,"(0) ERNT-R-A,LKRI-R-A,DDJH-R-A,RIVP-R-A",04.01. 16:47,39.42%,"36,34%","17,82%",
105.,torcida02,"(0) ADPL-R-A,DDJH-R-A,LEDO-R-A,ZABA-R-A,PODR-R-A,ADRS-P-A",22.01. 23:03,39.32%,"35,31%","13,16%",
106.,Mariopotra,"(3) BLJE-R-A,PTKM-R-A,DLKV-R-A",04.01. 09:54,38.98%,"37,03%","17,39%",
107.,Mister No,"(0) HT-R-A,RIVP-R-A,ADRS-P-A",25.01. 14:40,38.90%,"35,14%","12,89%",
108.,tomislav.brdaric,"(0) HT-R-A,OPTE-R-A,DDJH-R-A",21.01. 18:18,38.50%,"37,07%","12,88%",
109.,tripleA,"(0) ADRS-P-A,ARNT-R-A,KRAS-R-A,RIVP-R-A,DDJH-R-A",25.01. 23:08,38.27%,"36,87%","12,26%",
110.,financije_241,"(0) JNAF-R-A,DDJH-R-A,RIVP-R-A,LEDO-R-A",19.01. 09:28,38.18%,"35,53%","11,24%",
111.,KeyserSoze,"(0) RIVP-R-A,JDGT-R-A,ADRS-P-A,PLAG-R-A,HIMR-R-A",25.01. 17:55,38.08%,"35,40%","12,06%",
112.,majaroux,"(0) DDJH-R-A,ADPL-R-A,VERN-R-A",18.01. 13:43,37.97%,"33,74%","11,51%",
113.,hod po trnju,"(4) VLEN-R-B,RIZO-R-A,ADRS-P-A",06.01. 10:27,37.94%,"28,77%","15,68%",
114.,MIRAC,"(0) DLKV-R-A,ADRS-P-A,RIVP-R-A,ADPL-R-A,ARNT-R-A,MAIS-R-A",24.01. 13:48,37.94%,"34,64%","11,77%",
115.,markol,"(0) ADPL-R-A,DDJH-R-A,PODR-R-A,RIVP-R-A,BLJE-R-A,ZABA-R-A",22.01. 19:05,37.71%,"34,77%","11,54%",
116.,mmaleni,"(0) TUHO-R-A,HIMR-R-A,ADRS-R-A",23.01. 16:34,37.41%,"35,58%","11,24%",
117.,Brajko,"(0) RIVP-R-A,ADRS-P-A,DDJH-R-A,KOEI-R-A",25.01. 23:40,37.31%,"35,08%","11,29%",
118.,charlie79,"(1) VLEN-R-B,ADRS-P-A,DLKV-R-A",24.01. 18:15,36.99%,"34,28%","10,82%",
119.,nkikas,"(0) ARNT-R-A,ATGR-R-A,RIVP-R-A",25.01. 23:43,36.95%,"35,52%","10,94%",
120.,antetomas,"(0) ARNT-R-A,ADRS-R-A,TUHO-R-A,RIVP-R-A",25.01. 16:58,36.77%,"34,89%","10,76%",
121.,Antimon,"(3) ADRS-R-A,DDJH-R-A,PODR-R-A,ADPL-R-A,PRFC-R-A,RIVP-R-A",17.01. 17:15,36.50%,"32,70%","8,92%",
122.,Kor-ime,"(4) DDJH-R-A,ARNT-R-A,ADPL-R-A",22.01. 09:31,36.50%,"28,72%","10,34%",
123.,ovchica,"(1) RIVP-R-A,ADPL-R-A,HT-R-A,KODT-P-A,ERNT-R-A",14.01. 17:25,36.31%,"29,63%","9,61%",
124.,marek11,"(0) INA-R-A,ATPL-R-A,TPNG-R-A,ERNT-R-A,KOEI-R-A,DLKV-R-A",19.01. 10:54,36.18%,"33,26%","9,25%",
125.,jadna.ti.baba,"(2) DLKV-R-A,HMST-R-A,PVCM-R-A",23.01. 21:24,36.05%,"35,54%","9,88%",
126.,kija,"(3) RIVP-R-A,ATGR-R-A,ARNT-R-A,DDJH-R-A",25.01. 17:23,36.04%,"34,81%","10,03%",
127.,WOFWS,"(1) ARNT-R-A,HT-R-A,DDJH-R-A,RIVP-R-A,PODR-R-A,ADRS-P-A",15.01. 23:20,35.99%,"33,73%","8,40%",
128.,truli,"(2) VDKT-R-A,VART-R-1,ADRS-P-A,HT-R-A",04.01. 21:00,35.98%,"33,58%","14,38%",
129.,rudar47,"(5) MDKA-R-A,ADRS-P-A,RIVP-R-A,ERNT-R-A,ARNT-R-A,LEDO-R-A",04.01. 22:39,35.95%,"32,08%","14,36%",
130.,xyzz,"(0) ADRS-P-A,ATGR-R-A,OPTE-R-A,LEDO-R-A,ADPL-R-A,HT-R-A",19.01. 16:21,35.64%,"30,96%","8,70%",
131.,Pekka,"(0) ARNT-R-A,MAIS-R-A,RIVP-R-A,ADRS-P-A",10.01. 19:05,35.46%,"33,79%","12,26%",
132.,Opet ja,"(0) ERNT-R-A,RIVP-R-A,ACI-R-A",19.01. 16:25,35.44%,"30,27%","8,50%",
133.,doc25,"(0) OPTE-R-A,SUNH-R-A,RIZO-R-A,ATPL-R-A,ERNT-R-A,BLJE-R-A",23.01. 15:00,35.40%,"33,71%","9,23%",
134.,mhenc,"(1) ARNT-R-A,DDJH-R-A,RIVP-R-A",07.01. 19:57,34.83%,"34,00%","11,95%",
135.,mariabrankica,"(4) RIVP-R-A,ARNT-R-A,LRH-R-A,ADRS-P-A,ILRA-R-A,HMST-R-A",07.01. 20:46,34.72%,"33,32%","11,84%",
136.,FRain,"(0) SUNH-R-A,ZABA-R-A,JMNC-R-A,VDKT-R-A,JNAF-R-A,ADPL-R-A",19.01. 13:47,34.67%,"31,67%","7,73%",
137.,nadabranko1,"(4) ADRS-P-A,RIVP-R-A,MAIS-R-A",23.01. 12:36,34.60%,"33,03%","8,44%",Konzervativno !
138.,zli gad,"(1) ERNT-R-A,ARNT-R-A,RIZO-R-A,RIVP-R-A,ADPL-R-A,DDJH-R-A",11.01. 11:37,34.56%,"30,15%","11,03%",
139.,stefek10,"(0) ADRS-P-A,RIVP-R-A,LRH-R-A,DDJH-R-A",05.01. 14:38,34.54%,"32,88%","12,28%",
140.,Adiosnoia,"(0) SUNH-R-A,HIMR-R-A,ADRS-P-A,LRH-R-A,RIVP-R-A",24.01. 18:47,34.51%,"32,99%","8,35%",
