RB,Naziv portfelja,Dionice,"Portfelj
kreiran",Prinos,"Prinos
bez div.","Prinos iznad 
OTP
indeksnog fonda",Opaska
,,,,,,,
1.,Mariopotra,"(0) ATPL-R-A,OPTE-R-A,DLKV-R-A",10.01. 13:19,51.17%,"51,17%","61,26%",Pukovnik ili pokajnik :)
2.,jasko,"(5) IGH-R-A,THNK-R-A,INGR-R-A,ATPL-R-A,VLEN-R-B,ULPL-R-A",02.01. 10:04,41.00%,"41,00%","49,11%",
3.,bos po trnju,"(4) ERNT-R-A,ADRS-P-A,ATPL-R-A,ULPL-R-A",02.01. 09:25,38.30%,"33,92%","46,41%",
4.,dalaro,"(1) ERNT-R-A,RIVP-R-A,ATPL-R-A",25.01. 17:54,37.53%,"34,70%","48,86%",
5.,jadna.ti.baba,"(6) DLKV-R-A,HMST-R-A,THNK-R-A",02.01. 18:29,35.82%,"35,27%","43,93%",zadnji trzaj
6.,igor22,"(0) ATPL-R-A,RIVP-R-A,OPTE-R-A,ARNT-R-A",04.01. 04:12,35.13%,"34,57%","43,40%",
7.,luka.os,"(1) LEDO-R-A,JMNC-R-A,BLJE-R-A",03.01. 22:50,33.18%,"32,58%","41,20%",
8.,zvonac60,"(0) INGR-R-A,RIVP-R-A,DLKV-R-A,ATPL-R-A",24.01. 18:48,32.81%,"32,30%","43,25%",
9.,knish,"(0) RIVP-R-A,ARNT-R-A,ATPL-R-A",25.01. 15:19,32.43%,"31,75%","43,76%",Ajmo vidjeti..
10.,Vendo21,"(0) DDJH-R-A,DLKV-R-A,ATPL-R-A",10.01. 10:27,32.21%,"32,21%","42,30%",
11.,acdc,"(0) INA-R-A,ATPL-R-A,INGR-R-A",23.01. 19:30,31.33%,"31,17%","42,03%",
12.,nomiel,"(0) PODR-R-A,ADRS-P-A,ATPL-R-A,RIVP-R-A",04.01. 14:42,29.11%,"27,17%","37,38%",
13.,optimus,"(0) PVCM-R-A,TPNG-R-A,ATPL-R-A,ZABA-R-A,RIVP-R-A",02.01. 13:23,27.32%,"24,51%","35,42%",
14.,mini,"(1) ATPL-R-A,JDPL-R-A,ULPL-R-A",25.01. 12:09,26.85%,"26,85%","38,18%",Evo ih zajedno
15.,creatus,"(0) ADRS-P-A,ZABA-R-A,RIVP-R-A,ATPL-R-A,HT-R-A,ADPL-R-A",10.01. 20:53,26.41%,"22,35%","36,50%",
16.,Munger,"(0) ATPL-R-A,ERNT-R-A,IGH-R-A",25.01. 19:36,26.30%,"23,90%","37,63%",
17.,T3D0,"(2) ATPL-R-A,RIVP-R-A,OPTE-R-A,ATLN-R-A,ADPL-R-A",24.01. 21:36,26.22%,"23,86%","36,65%",
18.,Arijes,"(0) RIVP-R-A,KRAS-R-A,DLKV-R-A,HMST-R-A,ATPL-R-A",25.01. 23:43,25.94%,"25,24%","37,27%",
19.,Bobil,"(0) IGH-R-A,ATPL-R-A,DDJH-R-A",02.01. 16:13,25.74%,"25,74%","33,85%",
20.,nala,"(1) ATPL-R-A,INGR-R-A,OPTE-R-A",04.01. 20:00,24.68%,"24,68%","32,95%",
21.,ASTRA7,"(7) ERNT-R-A,DLKV-R-A,ATPL-R-A",24.01. 18:03,24.48%,"19,82%","34,91%",
22.,mariofr,"(0) LRH-R-A,RIVP-R-A,LRHC-R-A",02.01. 16:01,23.66%,"22,92%","31,77%",
23.,kirac,"(0) MAIS-R-A,KRAS-R-A,ATPL-R-A,KOEI-R-A",24.01. 20:32,22.47%,"21,70%","32,90%",
24.,Bufi,"(1) DLKV-R-A,JDPL-R-A,PODR-R-A,ERNT-R-A,ATPL-R-A",20.01. 11:25,21.28%,"19,19%","31,99%",
25.,dasat,"(0) ATPL-R-A,TPNG-R-A,LKPC-R-A,DLKV-R-A",24.01. 20:37,21.02%,"20,52%","31,45%",
26.,marne,"(1) RIVP-R-A,KOEI-R-A,ADRS-R-A,ATPL-R-A,INGR-R-A,DLKV-R-A",09.01. 14:21,20.82%,"19,68%","30,14%",
27.,crnielvis,"(0) ATPL-R-A,HPB-R-A,ERNT-R-A",25.01. 16:43,20.80%,"18,39%","32,13%",
28.,investor77,"(0) DDJH-R-A,ATPL-R-A,DLKV-R-A,RIVP-R-A",24.01. 20:29,20.75%,"20,23%","31,18%",
29.,vodoinstalater,"(0) MDKA-R-A,JDOS-R-A,ATPL-R-A",24.01. 07:14,20.29%,"16,45%","30,72%",
30.,dadoni24,"(1) INA-R-A,BD62-R-A,ATPL-R-A,LKPC-R-A",02.01. 13:51,19.50%,"19,38%","27,61%",
31.,mat(a)dor,"(0) ADRS-R-A,ZABA-R-A,RIVP-R-A,JDGT-R-A,ATPL-R-A,ATGR-R-A",23.01. 19:52,17.22%,"13,68%","27,93%",
32.,Overlord666,"(0) ERNT-R-A,ADRS-P-A,ATPL-R-A,ADPL-R-A,DDJH-R-A,RIVP-R-A",10.01. 12:44,16.51%,"13,36%","26,60%",
33.,izvonic,"(0) INGR-R-A,ATPL-R-A,OPTE-R-A,IGH-R-A",24.01. 19:36,16.41%,"16,41%","26,84%",
34.,dabel,"(0) ATGR-R-A,DLKV-R-A,ADPL-R-A",24.01. 08:56,16.33%,"13,82%","26,76%",
