RB,Naziv portfelja,Dionice,"Portfelj
kreiran",Prinos,"Prinos
bez div.","Prinos iznad 
OTP
indeksnog fonda",Opaska
,,,,,,,
1.,rajbos,"(4) CROS-R-A,HUPZ-R-A,PLAG-R-A,MAIS-R-A",21.01. 22:44,129.44%,"126,86%","131,78%",SVE ZA 5
2.,igoru,"(6) JDPL-R-A,ATGR-R-A,KODT-P-A",22.01. 18:19,50.14%,"46,32%","53,00%",
3.,zoki,"(4) HUPZ-R-A,KRAS-R-A,TUHO-R-A,PODR-R-A",21.01. 11:22,48.28%,"48,28%","50,62%",
4.,peropopara,"(5) HUPZ-R-A,LEDO-R-A,KORF-R-A",03.01. 23:22,47.32%,"46,70%","45,84%",
5.,ip,"(3) KORF-R-A,ATPL-R-A,ZABA-R-A",02.01. 09:31,39.53%,"39,53%","35,83%",
6.,ac_dc,"(0) INGR-R-A,ATPL-R-A,JDPL-R-A",21.01. 20:52,27.22%,"27,22%","29,56%",
7.,Ivan1902,"(1) MAIS-R-A,KORF-R-A,VLHO-R-A,ATLN-R-A,PLAG-R-A",09.01. 14:35,26.34%,"21,90%","26,61%",
8.,Teesaye,"(0) ZVZD-R-A,VPIK-R-A,VART-R-1",23.01. 13:32,24.75%,"24,75%","27,87%",
9.,mahniti,"(1) KORF-R-A,ATPL-R-A,DDJH-R-A",04.01. 08:46,24.69%,"24,69%","22,80%",
10.,oknar,"(12) DDJH-R-A,ATGR-R-A,DLKV-R-A",02.01. 11:28,23.25%,"22,38%","19,56%",
11.,gklemenc,"(6) ATGR-R-A,PODR-R-A,JDRA-R-A",02.01. 17:39,22.29%,"20,99%","18,60%",
12.,siguranrast,"(0) PLAG-R-A,VIRO-R-A,ADPL-R-A,ERNT-R-A,KORF-R-A",07.01. 13:01,21.11%,"13,60%","19,46%",
13.,barisa,"(2) DDJH-R-A,KORF-R-A,VART-R-1,LPLH-R-A",21.01. 21:37,20.97%,"20,97%","23,31%",
14.,goran8012,"(0) ARNT-R-A,ULPL-R-A,KODT-R-A",17.01. 09:34,19.63%,"17,90%","22,02%",
15.,mojedionicee,"(4) ADRS-P-A,HT-R-A,KORF-R-A",05.01. 08:58,19.50%,"14,32%","17,61%",
16.,matko,"(0) ARNT-R-A,VLHO-R-A,CROS-R-A",24.01. 20:13,18.83%,"18,83%","21,99%",
17.,mali9895,"(0) MAIS-R-A,RIVP-R-A,KORF-R-A,TUHO-R-A,PLAG-R-A,JNAF-R-A",22.01. 08:33,18.68%,"14,66%","21,54%",Turizam i privatizacija
18.,GAZNEFTCORP,"(10) JNAF-R-A,INA-R-A,KORF-R-A,CROS-R-A,PTKM-R-A,ARNT-R-A",03.01. 12:45,17.59%,"15,28%","16,11%",
19.,ovchica,"(3) ADPL-R-A,KOEI-R-A,KORF-R-A,ATLN-R-A,KODT-P-A,ERNT-R-A",03.01. 16:12,16.29%,"10,19%","14,80%",
20.,gordogan,"(6) VPIK-R-A,KORF-R-A,BLJE-R-A,DDJH-R-A",22.01. 09:36,16.19%,"12,59%","19,05%",
21.,SuperRizik,"(3) ATPL-R-A,TNPL-R-A,ULPL-R-A",07.01. 09:45,15.73%,"15,73%","14,08%",
22.,jure radić,"(1) ADPL-R-A,ARNT-R-A,IPKK-R-A,HIMR-R-A",04.01. 12:51,15.61%,"13,55%","13,72%",
23.,rmac,"(1) TNPL-R-A,KORF-R-A,CROS-R-A",02.01. 11:01,14.89%,"13,84%","11,20%",
24.,shef.sale,"(0) JNAF-R-A,KNZM-R-A,ATPL-R-A",25.01. 15:22,14.52%,"13,55%","17,69%",
25.,random_walk,"(3) ATPL-R-A,ADPL-R-A,BLJE-R-A,PODR-R-A,JDPL-R-A",21.01. 12:59,14.22%,"12,96%","16,56%",
26.,bushido19,"(1) HT-R-A,DIOK-R-A,VART-R-1,KORF-R-A,ADPL-R-A,BLJE-R-A",21.01. 23:37,13.67%,"9,97%","16,00%",
27.,Marko3200,"(1) ARNT-R-A,ADPL-R-A,RIVP-R-A,KORF-R-A,KODT-R-A",22.01. 11:09,13.50%,"11,25%","16,36%",
28.,hbardek,"(0) PODR-R-A,PTKM-R-A,VLHO-R-A,ATPL-R-A,KORF-R-A",24.01. 17:58,13.39%,"13,39%","16,55%",
29.,barrenwuffet,"(3) ARNT-R-A,HDEL-R-A,PTKM-R-A,VART-R-1,DDJH-R-A",10.01. 02:46,13.08%,"13,08%","13,30%",
30.,vbresan,"(0) KORF-R-A,ARNT-R-A,VPIK-R-A",22.01. 16:56,11.94%,"11,94%","14,80%",
31.,nbaksaj,"(1) ADPL-R-A,VDKT-R-A,JDRA-R-A,KORF-R-A,ARNT-R-A,VPIK-R-A",21.01. 14:17,11.80%,"10,65%","14,14%",
32.,Thirdeye,"(0) ADPL-R-A,KORF-R-A,PODR-R-A,ADRS-R-A,DDJH-R-A",02.01. 16:26,11.09%,"9,12%","7,40%",
33.,mhen,"(0) ADPL-R-A,ATPL-R-A,VPIK-R-A,INGR-R-A",21.01. 21:46,10.68%,"8,99%","13,02%",
34.,avatar,"(1) TUHO-R-A,VIRO-R-A,ADPL-R-A,VPIK-R-A,KOEI-R-A,KODT-R-A",14.01. 12:42,10.24%,"6,88%","12,13%",
35.,nula rizika,"(0) IGH-R-A,ATPL-R-A,INGR-R-A",02.01. 09:58,10.18%,"10,18%","6,49%",
